index,radical,pinyin,strokes,standard_or_base_name,name_pinyin,common_lookup_name,common_name_pinyin,French_short,French_name_explanation,Chinese_name_source,printed_page,in_sinogram_forms,source_ids
1,一,yī,1,横,héng,横,héng,un ; trait horizontal,trait horizontal,GF0014-2009,10,[],"unicode,cfdict,gf0014"
2,丨,gǔn,1,竖,shù,竖,shù,trait vertical,trait vertical,GF0014-2009,16,[],"unicode,cfdict,gf0014"
3,丿,piě,1,撇,piě,撇,piě,trait descendant gauche,trait descendant vers la gauche,GF0014-2009,14,[],"unicode,cfdict,gf0014"
4,丶,zhǔ,1,点,diǎn,点,diǎn,point,point,GF0014-2009,9,[],"unicode,cfdict,gf0014"
5,乛,héng gōu,1,横钩,héng gōu,横折,héng zhé,crochet horizontal,trait horizontal terminé par un crochet,GF0014-2009,10,[],"unicode,cfdict,gf0014"
6,十,shí,2,十,shí,十字儿,shí zì ér,dix,Nom de la clé : dix,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
7,厂,chǎng,2,厂,chǎng,厂字旁,chǎng zì páng,usine ; falaise (ancien),Nom de la clé : usine ; falaise (ancien),Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
8,匚,fāng,2,区字框,qū zì kuàng,三框儿,sān kuàng ér,coffre ouvert,"cadre de qū, ouvert à droite",GF0014-2009,14,[],"unicode,cfdict,gf0014"
9,卜,bǔ,2,卜,bǔ,卜字旁,bǔ zì páng,divination,Nom de la clé : divination,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
10,冂,jiōng,2,同字框,tóng zì kuàng,同字框,tóng zì kuàng,cadre ouvert,"cadre extérieur de tóng, ouvert en bas",GF0014-2009,16,[],"unicode,cfdict,gf0014"
11,八,bā,2,八,bā,八字头,bā zì tóu,huit ; séparer,Nom de la clé : huit ; séparer,Unihan/CFDICT,,"[{""form"": ""丷"", ""display_name"": ""倒八字"", ""display_pinyin"": ""dào bā zì"", ""GF0014_name"": ""倒八"", ""French"": ""huit renversé"", ""printed_page"": 7}]","unicode,cfdict,gf0014"
12,人,rén,2,人,rén,人字头、单人旁,rén zì tóu 、 dān rén páng,personne,Nom de la clé : personne,Unihan/CFDICT,,"[{""form"": ""亻"", ""display_name"": ""单立人旁"", ""display_pinyin"": ""dān lì rén páng"", ""GF0014_name"": ""单立人"", ""French"": ""personne à gauche"", ""printed_page"": 14}]","unicode,cfdict,gf0014"
13,勹,bāo,2,句字框,jù zì kuàng,包字头,bāo zì tóu,envelopper,enveloppe de jù,GF0014-2009,12,[],"unicode,cfdict,gf0014"
14,儿,ér,2,儿,ér,儿字底,ér zì dǐ,jambes ; enfant,Nom de la clé : jambes ; enfant,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
15,匕,bǐ,2,匕,bǐ,匕字旁,bǐ zì páng,cuillère,Nom de la clé : cuillère,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
16,几,jī,2,几,jī,几字底,jī zì dǐ,petite table,Nom de la clé : petite table,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
